STATUS,RETAILER,ADDRESS,CITY,STATE,ZIP,WEBSITE,EMAIL,PHONE,DESCRIPTION
inactive,Schreiner Goods,214 Earl Garrett Street,Kerrville,TX,78028,schreinergoods.com,info@schreinergoods.com,830 315 5000,"Schreiner Goods features a carefully curated collection of clothing for women, men and unique goods for the home, with a bold, eclectic aesthetic that is modern, fashion-forward and design-centric, yet always feels at home in Texas. Our store features constantly evolving American vintage collection alongside carefully curated pieces from emerging and established independent contemporary designers."
inactive,Scout,742 E Market Street,Louisville,KY,40202,scoutonmarket.com,sam@scoutonmarket.com,502 584 8989,"Scout is a modern eclectic mix of furniture, home accessories, giftware, artwork and jewelry. Our viewpoint si of a clean modern aesthetic with natural and organic sensibilities."
inactive,Silverbrook Farms,15286 Woodgrove Road,Purcellville,VA,20132,silverbrookfarmbandb.com,silverbrookfarm1@aol.com,540 668 6056,"If you are looking for a true country site for bed and breakfast stays, weddings, rehearsal dinners, intimate dinner parties, workshops or one-day retreats, Silverbrook Farm is a must to see. "
inactive,simply put Paper and Gift,1170 Howell Mill Road Suite 104,Atlanta,GA,30318,simplyputpaper.com,info@@simplyputbyashleywoodman.com,404 881 8660,A boutique card company established by Ashley Toporek Woodman in 1999. We design stationary for people who understand the benfits of premium quality paper and traditional printing processes. We offer custom design services as well as pre-printed stationary and unique gifts from a handful of our favorite vendors.
inactive,Smeeks,,Phoenix,AZ,,,,,
active,Sprout Home Chicago,745 N Damen Avenue,Chicago,IL,60622,sprouthome.com,info@sprouthome.com,312 226 5955,"Sprout Home believes that a modern aesthetic can live both in the home and garden. Sprout Home is not only a full service garden center but also offers a wide selection of home products, garden design and installation, floral design and delivery."
inactive,Sprout Home NY,44 Grand Street,Brooklyn,NY,11249,sprouthome.com,nyinfo@sprouthome.com,718 388 4440,"Sprout Home believes that a modern aesthetic can live both in the home and garden. Sprout Home is not only a full service garden center but also offers a wide selection of home products, garden design and installation, floral design and delivery."
inactive,Spruce,2043 Magazine Street,New Orleans,LA,70130,sprucenola.com,,504 265 0946,"Spruce Eco-Studio is both a retail showroom and a design studio. Its distinctive offerings are sustainable, fair trade, local, and/or support at cause. Through thoughtful selection, Spruce has put together a carefully curated collection which supports an environmentally and socially responsible lifestyle."
inactive,Still House,117 E 7th Street,New York,NY,10009,bystillhouse.com,info@bystillhouse.com,212 539 0200,
inactive,Sugar Paper,1749 Encley Avenue,Los Angeles,CA,90024,sugarpaper.com,hello@sugarpaper.com,310 277 7804,"Connoisseurs of correspondence and self-proclaimed traditionalists, Chelsea Shukov and Jamie Grobecker believe that personal stationery makes a deep, lasting impression. These close friends and graphic designers founded Sugar Paper in 2003 after falling in love with the simplicity and nostalgia of letterpress printing. Their mission was simple: to design exquisite social stationery that would be a distinctive stamp of style for their chic clientele, and shine a spotlight on a beautiful and underappreciated art form.Today, Sugar Paper is renowned for its design aesthetic, unparalleled taste and perfectionism. Having been featured in publications including Martha Stewart Weddings, VOGUE, InStyle, Lucky, Vanity Fair and Domino, Sugar Paper is a trusted resource for their upscale, stylish and celebrity clientele."
inactive,T.A. Lorton,1343 E 15th Street,Tulsa,OK,74120,talorton.com,,918 743 1600,"TA Lorton is a home store located in the historic Cherry Street district in Tulsa, Oklahoma, offering an ever-changing selection of unique finds and treasures. Tracy Lorton Salisbury opened her store in 1988 after returning home from living in New York. Since the beginning TA Lorton has been about handmade, hard to find, whimsical, beautiful, and interesting objects that can't be lived without. TA Lorton is ever-evolving, and ever-changing. "
active,Terrain,914 Baltimore Pike,Glen Mills,PA,19342,shopterrain.com,service@shopterrain.com,8775TERRAIN,"Founded in 2008, terrain transforms the local garden center into a celebration of nature. With a focus on community, terrain fosters a collaborative environment based on a shared fondness for growing, wellness, sustainability, design and the self-expression of the gardener."
active,The Artful Hand Gallery,459 Main Street,Chatham,MA,2633,artfulhandgallery.com,sales@artfulhandgallery.com,508 945 5681,"Guided by an appreciation of innovative and impeccable craftsmanship, owners Liz and Joe Porcari bring a curatorial eye to their ever evolving collection of fine gifts, crafts and objects for the home. Since its inception in 1981, the Artful Hand Gallery has become an international destination for collectors and design enthusiasts alike."
active,The Dotted Line,2141 Bandywood Drive,Nashville,TN,37215,the-dotted-line.com,dottedline@bellsouth.net,615 385 0101,"Shopping at The Dotted Line is nothing short of magical. As soon as you open the door, you enter a world which channels fairy tales and childhood. Every card, candle, every delicious sweet treat makes you never want to leave. It is a world that is whimsical, inspired and above all pink!"
inactive,The Grey Colt,150 N Main Street,Hudson,OH,44236,greycolt.com,katie@greycolt.com,330 653 6355,"The Grey Colt is a women's specialty store with head-to-toe dressing for every clothing need. As a 50 year old tradition on the historic Main Street in Hudson, Ohio, the store provides a friendly neighborhood shopping experience. The Grey Colt has a strong reputation for unique items, helpful staff, and charming gift wrap contained, within a homey atmosphere. "
inactive,The Home Market,222 E Erie Street,Milwaukee,WI,53202,thehomemarket.net,,414 755 2165,"The Home Market is located in Milwaukee's Historic Third Ward neighborhood. Specializing in custom slipcovered furniture, unique home furnishings, apothecary, bedding and lighting, The Home Market mixes vintage and modern furnishings to create simple and elegant style."
inactive,The Indie-pendent,1052 St. Charles Ave NE,Atlanta,GA,30306,theindie-pendent.com,hello@theindie-pendent.com,404 313 0004,"The indie-pendent’s VISION is to create a relaxing, inspiring and creative retail environment where customers can find authentic, high-quality handmade goods for the home, body and soul while nurturing their own creativity through the studio’s creative workshops."
inactive,The Iron Gate,338 Main Street,Franklin,TN,37064,theirongateonline.net,info@theirongateonline.net,615 791 7511 ,"A well-appointed space should not feel decorated. Rather, it should feel like you’ve already been there many times when you first walk in. Whether you need that one special focal piece or new decor for every room, the Iron Gate will help you discover the space you’ve always wanted."
inactive,The Nest Egg,11940 Grand Commons Avenue,Fairfax,VA,22030,shopthenestegg.com,info@shopthenestegg.com,703 988 0944,"The Nest Egg is a locally owned home furnishings boutique located in Fairfax, Virginia. Since opening our doors in 2004, our philosophy has been that home decorating should be enjoyable. We take great pride in providing our customers with both a unique shopping experience and an exceptional level of service. Whether you are in your first home and starting from scratch or you're updating your current home and mixing in new pieces with those you've cherished for years, we look forward to helping you make the transition. "
inactive,The SHOP by H. Bleu,204 W Chapman Space #50,Old Towne Orange,CA,92866,shophbleu.com,info@shophbleu.com,714 532 3041,"“THE SHOP by H Bleu” has fulfilled yet another incarnation for architectural designer, Susan Lennon. Creative juices flow in whatever medium on which she decides to focus. From interior design, utilizing unique antiques, to gourmet catering for films and TV, to fashion jewelry design, and back to her self proclaimed niche, visual arts in designing interiors both architectural and furnishings utilizing her repurposed pieces that were once new….and creating elegance and reborn design innovations."
inactive,The Willows,3743 E Indian School Road,Phoenix,AZ,85018,willowshomeandgarden.com,willowsdesign@gmail.com,602 334 1345,"The Willows is a luxurious home furnishings and lifestyle atelier and showroom offering our customers a casual, yet clasically elegant collection of beautiful finds. We offer unique, timeless appeal to your home or office with ""objects for a life well lived."""
inactive,Tone on Tone,7920 Woodmont Avenue,Bethesda,MD,20814,tone-on-tone.com,info@tone-on-tone.com,240 497 0800,"Tone on Tone specializes in 18th and 19th century painted Swedish antiques. Crafted in simple lines and painted in neutral colors, it is easy to understand why these classic furnishings fit so well in today's homes. Tone on Tone always has a selection of cabinets, chairs, clocks, settees, tables, and other pieces. Also, the shop carries a large collection of creamware, white ironstone, and garden furnishings and ornaments rich with patina."
inactive,Trillium,15 Washington Street,Nantucket,MA,2554,trilliumnantucket.com,info@trilliumnantucket.com,508 228 4450,"Trillium sells only the most exquisite items from the U.S and Europe and features products ranging from linens, beaded placemats, napkin rings, and pillows, to decoupage plates, glassware, serving pieces and porcelain.The inventory is constantly changing, and we add new items every week. We display our pieces in much the way you would in your home, so you'll get great decorating ideas while you browse around in our welcoming atmosphere."
inactive,TRoHV Baltimore,921 W 36th Street,Baltimore,MD,21211,trohvshop.com,hellobmore@trohvshop.com,410 366 3458,"Trohv is an inventive, independently owned shop featuring home goods and gifts. We aim to inspire your shopping experience with varied collections of new and vintage goods. Our mix of urban grit and southern sensibility playfully blends multiple aesthetics to create an artful sense of home and personal style."
inactive,TRoHV D.C.,232 Carroll Street NW ,Washington,DC,20012,trohvshop.com,hellobmore@trohvshop.com,202 829 2941,"Trohv is an inventive, independently owned shop featuring home goods and gifts. We aim to inspire your shopping experience with varied collections of new and vintage goods. Our mix of urban grit and southern sensibility playfully blends multiple aesthetics to create an artful sense of home and personal style."
inactive,Trouve Home,4225 E Camelback Road,Phoenix,AZ,85018,trouvehome.com,info@trouvehome.com,602 778 9777,"Trouvé means “found” in French. It really sums up what our shops are all about… the intrigue of the hunt, the joy of uncovering a sought after object, the surprise of discovering a new treasure. We search around the world for beautiful things... always with an eye to great design for today’s living."
inactive,Upstairs at Pierre Lafond,516 San Ysidiro Road,Montecito,CA,93108,upstairsatpierrelafond.com,,805 565 1502,Upstairs at Pierre Lafond carries childrens and mens clothing and lifestyle products that reflect the relaxed and unpretentious lifestyle of Santa Barbara. 
inactive,Valerianne of Scottsdale,7033 E 1st Street,Scottsdale,AZ,85251,valerianne.com,info@valerianne.com,480 946 8772,"At Valerianne of Scottsdale you will find all that you need to sleep, to dream, or to play; luxurious linens, beautiful gifts, and wonderful accessories for the bed and bath. "
inactive,Vintage Home and Garden,,,,,vintagehomeandgarden.com,morgan@vintagehomeandgarden.com,206 780 1778,"We have a showroom on Bainbridge Island that specializes in antiques, vintage, vintage style, furniture and decorative objects for the home and garden. We want to provide our clients and customers a unique shopping experience that satisfies one's joy of discovery. Our products can best be described as reclaimed, repurposed, vintage, vintage inspired, industrial chic furniture and accessories for the home and garden. We wholesale our photographs and various other products and sell online using our own store and Second Shout Out. We work with designers and architects and we sell to the trade and the general public."
inactive,Vintageweave Interiors,7928 W Third Street,Los Angeles,CA,90048,vintageweave.com,vintageweave@aol.com,323 932 0451,"Born from a love of Paris and London flea markets, Vintageweave Interiors offers items that allow individual and innovative expression, while infusing a bit of the past. Vintageweave is known for finding the unique, and then mixing together the elegant and the rustic in new and eye-catching ways."
inactive,Wedge & Bottle,4025 E Chandler Boulevard Suite 44 ,Phoenix,AZ,85048,wedgebottle.com,info@wedgebottle.com,480 704 1255,"Wedge & Bottle is a Phoenix cheese shop owned by Troy and Krista Daily.  We opened our Ahwatukee shop on May 3rd 2011. We believe that quality food is an important part of life.  We have a passion for quality cheese, wine, and craft beer that we would like to share with others who feel the same way. We love cheese and sell everything that goes with it!  We have a selection of unique cut to order cheese and accompaniments such as wine, beer, charcuterie, bread, crackers, jams, mustards, etc. We have a menu of cheese plates and melted cheese sandwiches that can be consumed in our shop or taken home to enjoy later with friends or family."
inactive,White Flower Farmhouse ,2845 Peconic Lane,Peconic,NY,11958,whiteflowerfarmhouse.com,whiteflowershop@aol.com,631 765 2353,"White Flower Farmhouse has a unique collection of vintage, industrial, and charming household products. "
active,White Magdalena House,60 South Street,Hingham,MA,,,whitemagdalena@email.com,781 749 0048,"Furniture store located in Hingham Square. We make hand-made furniture- you pick the paint/stain finish and size. We also have local art and jewelry, architectural antiques, lighting, Dash and Albert rugs, and Pine Cone Hill Linens."
,,,,,,,,,
